Time [ms],Ox High (FLowmeter),Ox Low (Flowmeter),Eth High (Flowmeter),Eth Low (Flowmeter),Eth Chamber Pres.,Ox Chamber Pres.,Chamber Pres.,Load Cell,Thermocouple [C]
872,8.67,17.12,-42.91,-45.73,2.23,5.26,5.26,0,33.25
973,12.26,17.12,-46.28,-45.73,2.23,2.23,5.26,0,33.25
1074,12.26,17.12,-46.28,-45.73,2.23,2.23,5.26,0,33.25
1176,8.67,17.12,-46.28,-45.73,2.23,2.23,2.23,0,33.25
1277,12.26,17.12,-49.66,-45.73,2.23,2.23,5.26,0,33.25
1377,12.26,17.12,-46.28,-45.73,-0.79,2.23,5.26,0,33.25
1479,12.26,17.12,-46.28,-49.15,-0.79,-0.79,5.26,0,33.25
1580,12.26,17.12,-42.91,-45.73,2.23,8.28,5.26,0,33.25
1680,12.26,17.12,-46.28,-45.73,2.23,-0.79,5.26,0,33.25
1782,12.26,17.12,-46.28,-49.15,2.23,5.26,5.26,0,33.25
1882,8.67,20.73,-46.28,-45.73,2.23,2.23,5.26,0,33.25
1983,12.26,17.12,-46.28,-45.73,2.23,5.26,5.26,0,33.25
2084,8.67,17.12,-46.28,-49.15,2.23,5.26,5.26,0,33.25
2185,12.26,17.12,-46.28,-45.73,2.23,2.23,5.26,0,33.25
2287,12.26,20.73,-46.28,-45.73,-3.81,2.23,5.26,0,33.25
2387,8.67,17.12,-46.28,-45.73,2.23,5.26,5.26,0,33.25
2488,12.26,17.12,-42.91,-45.73,2.23,8.28,5.26,0,33.25
2589,8.67,17.12,-46.28,-45.73,-0.79,-0.79,5.26,0,33.25
2690,12.26,17.12,-46.28,-45.73,2.23,2.23,5.26,0,33.25
2791,12.26,17.12,-46.28,-45.73,-0.79,2.23,-6.84,0,33.25
2892,12.26,17.12,-42.91,-45.73,2.23,5.26,5.26,0,33.25
2993,12.26,17.12,-46.28,-45.73,2.23,5.26,5.26,0,33.25
3094,12.26,17.12,-46.28,-45.73,2.23,2.23,2.23,0,33.25
3195,12.26,20.73,-46.28,-49.15,-0.79,-0.79,5.26,0,33.25
3296,12.26,17.12,-46.28,-45.73,-0.79,8.28,5.26,0,33.25
3397,12.26,17.12,-46.28,-45.73,2.23,5.26,8.28,0,33.25
3498,12.26,17.12,-46.28,-45.73,-0.79,2.23,14.33,0,33.25
3599,12.26,17.12,-46.28,-45.73,-0.79,2.23,2.23,0,33.25
3701,8.67,17.12,-46.28,-45.73,2.23,2.23,5.26,0,33.25
3801,12.26,17.12,-46.28,-45.73,-0.79,5.26,5.26,0,33.25
3902,12.26,17.12,-46.28,-45.73,-0.79,-0.79,5.26,0,33.25
4003,8.67,20.73,-46.28,-45.73,2.23,2.23,5.26,0,33.25
4104,15.84,17.12,-46.28,-45.73,-0.79,2.23,5.26,0,33.25
4205,8.67,17.12,-46.28,-42.32,2.23,2.23,2.23,0,33.25
4306,8.67,17.12,-46.28,-49.15,2.23,5.26,5.26,0,33.25
4407,12.26,20.73,-46.28,-45.73,2.23,2.23,5.26,0,33.25
4509,12.26,17.12,-46.28,-49.15,2.23,5.26,2.23,0,33.25
4610,12.26,17.12,-46.28,-49.15,-0.79,8.28,5.26,0,33.25
4710,8.67,17.12,-46.28,-42.32,2.23,8.28,5.26,0,33.25
4811,8.67,17.12,-42.91,-45.73,2.23,2.23,5.26,0,33.25
4912,12.26,17.12,-42.91,-45.73,2.23,2.23,5.26,0,33.25
5014,12.26,17.12,-42.91,-45.73,2.23,8.28,5.26,0,33.25
5115,8.67,17.12,-46.28,-45.73,-0.79,2.23,2.23,0,33.25
5215,12.26,20.73,-46.28,-45.73,2.23,2.23,8.28,0,33.25
5316,12.26,17.12,-46.28,-49.15,2.23,5.26,5.26,0,33.25
5417,12.26,17.12,-46.28,-45.73,-0.79,5.26,5.26,0,33.25
5518,12.26,20.73,-46.28,-45.73,2.23,5.26,5.26,0,33.25
5619,12.26,13.51,-46.28,-45.73,2.23,5.26,5.26,22.89,33.25
5720,12.26,17.12,-46.28,-45.73,2.23,5.26,5.26,0,33.25
5821,8.67,17.12,-42.91,-45.73,2.23,-0.79,2.23,0,33.25
5922,12.26,17.12,-46.28,-45.73,-0.79,-0.79,5.26,0,33.25
6023,12.26,17.12,-46.28,-45.73,2.23,-12.88,5.26,0,33.25
6124,12.26,17.12,-46.28,-45.73,2.23,2.23,5.26,0,33.25
6225,8.67,20.73,-42.91,-45.73,2.23,2.23,2.23,0,33.25
6326,12.26,20.73,-46.28,-45.73,-3.81,2.23,5.26,0,33.25
6427,12.26,17.12,-46.28,-45.73,20.37,2.23,5.26,0,33.25
6529,12.26,17.12,-46.28,-45.73,8.28,5.26,2.23,0,33.25
6629,12.26,17.12,-46.28,-45.73,-0.79,2.23,8.28,0,33.25
6730,12.26,17.12,-46.28,-45.73,-0.79,11.3,5.26,0,33.25
6831,8.67,17.12,-46.28,-49.15,2.23,5.26,5.26,0,33.25
6933,12.26,24.34,-46.28,-45.73,2.23,5.26,5.26,0,33.25
7033,8.67,17.12,-42.91,-42.32,-0.79,5.26,5.26,0,33.25
7135,12.26,17.12,-46.28,-45.73,2.23,2.23,17.35,0,33.25
7235,12.26,17.12,-49.66,-49.15,2.23,2.23,5.26,0,33.25
7336,8.67,17.12,-46.28,-45.73,-0.79,5.26,5.26,0,33.25
7437,8.67,17.12,-46.28,-45.73,2.23,2.23,5.26,0,33.25
7538,8.67,20.73,-42.91,-45.73,2.23,2.23,5.26,0,33.25
7639,15.84,17.12,-46.28,-45.73,5.26,2.23,2.23,0,33.25
7740,12.26,17.12,-46.28,-45.73,2.23,2.23,8.28,23.69,33.25
7841,12.26,17.12,-46.28,-42.32,5.26,2.23,5.26,0,33.25
7942,15.84,17.12,-46.28,-45.73,-3.81,-0.79,5.26,0,33.25
8043,12.26,20.73,-46.28,-45.73,8.28,5.26,5.26,0,33.25
8144,8.67,17.12,-46.28,-45.73,8.28,2.23,5.26,0,33.25
8245,8.67,17.12,-46.28,-45.73,2.23,5.26,5.26,0,33.25
8346,12.26,17.12,-42.91,-45.73,-0.79,2.23,5.26,0,33.25
8447,8.67,17.12,-46.28,-42.32,-0.79,11.3,5.26,0,33.25
8548,12.26,17.12,-46.28,-45.73,2.23,2.23,5.26,0,33.25
8649,8.67,17.12,-46.28,-45.73,-0.79,2.23,5.26,0,33.25
8750,12.26,17.12,-46.28,-45.73,-3.81,2.23,5.26,0,33.25
8852,12.26,17.12,-46.28,-45.73,-0.79,5.26,5.26,0,33.25
8952,12.26,17.12,-46.28,-49.15,-0.79,5.26,2.23,0,33.5
9053,8.67,17.12,-42.91,-45.73,-0.79,2.23,2.23,0,33.25
9154,12.26,17.12,-46.28,-45.73,-0.79,2.23,2.23,0,33.25
9255,15.84,17.12,-46.28,-49.15,-0.79,2.23,5.26,0,33.25
9356,12.26,17.12,-46.28,-45.73,2.23,2.23,2.23,0,33.25
9457,12.26,17.12,-46.28,-45.73,-0.79,2.23,2.23,0,33.25
9559,12.26,17.12,-46.28,-45.73,5.26,2.23,5.26,0,33.25
9659,8.67,20.73,-46.28,-45.73,-0.79,5.26,5.26,0,33.25
9761,12.26,17.12,-42.91,-45.73,2.23,2.23,8.28,0,33.25
9861,8.67,17.12,-46.28,-42.32,2.23,2.23,2.23,0,33.25
9962,12.26,17.12,-46.28,-45.73,2.23,2.23,5.26,0,33.25
10063,12.26,17.12,-46.28,-45.73,2.23,2.23,5.26,0,33.25
10164,8.67,20.73,-46.28,-45.73,-0.79,2.23,5.26,0,33.25
10265,12.26,17.12,-46.28,-45.73,-0.79,2.23,5.26,0,33.25
10366,8.67,17.12,-46.28,-49.15,-0.79,2.23,5.26,0,33.25
10467,12.26,17.12,-46.28,-45.73,2.23,2.23,5.26,0,33.25
10568,8.67,17.12,-46.28,-45.73,-0.79,2.23,5.26,0,33.25
10669,12.26,17.12,-39.53,-45.73,-0.79,2.23,2.23,0,33.25
10770,8.67,17.12,-46.28,-45.73,2.23,2.23,2.23,0,33.25
10871,12.26,17.12,-46.28,-45.73,2.23,2.23,5.26,0,33.25
10972,12.26,20.73,-42.91,-45.73,2.23,2.23,5.26,0,33.25
11073,8.67,17.12,-46.28,-45.73,-0.79,2.23,5.26,0,33.25
11174,12.26,17.12,-46.28,-45.73,2.23,2.23,5.26,0,33.25
11275,12.26,17.12,-46.28,-45.73,2.23,2.23,5.26,0,33.25
11377,12.26,17.12,-46.28,-42.32,5.26,2.23,5.26,0,33.25
11478,8.67,20.73,-42.91,-45.73,-0.79,2.23,5.26,0,33.25
11578,12.26,17.12,-46.28,-45.73,2.23,5.26,5.26,0,33.25
11680,12.26,17.12,-46.28,-45.73,-0.79,2.23,5.26,0,33.25
11780,12.26,17.12,-46.28,-45.73,-0.79,-0.79,5.26,0,33.25
11881,12.26,17.12,-46.28,-45.73,-0.79,11.3,5.26,0,33.25
11982,12.26,17.12,-46.28,-42.32,2.23,2.23,5.26,0,33.25
