Name,NACA 23015
Chord(mm),100
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
100.000000,0.160000
95.000000,1.120000
90.000000,2.040000
80.000000,3.730000
70.000000,5.250000
60.000000,6.610000
50.000000,7.740000
40.000000,8.590000
30.000000,9.050000
25.000000,9.080000
20.000000,8.920000
15.000000,8.520000
10.000000,7.640000
7.500000,6.900000
5.000000,5.890000
2.500000,4.440000
1.250000,3.340000
0.000000,0.000000
1.250000,-1.540000
2.500000,-2.250000
5.000000,-3.040000
7.500000,-3.610000
10.000000,-4.090000
15.000000,-4.840000
20.000000,-5.410000
25.000000,-5.780000
30.000000,-5.960000
40.000000,-5.920000
50.000000,-5.500000
60.000000,-4.810000
70.000000,-3.910000
80.000000,-2.830000
90.000000,-1.590000
95.000000,-0.900000
100.000000,-0.160000
,
Camber line,
X(mm),Y(mm)
0.000000,0.000000
1.250000,0.900000
2.500000,1.095000
5.000000,1.425000
7.500000,1.645000
10.000000,1.775000
15.000000,1.840000
20.000000,1.755000
25.000000,1.650000
30.000000,1.545000
40.000000,1.335000
50.000000,1.120000
60.000000,0.900000
70.000000,0.670000
80.000000,0.450000
90.000000,0.225000
95.000000,0.110000
100.000000,0.000000
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
100.000000,0.000000
