x,Curve1
0.254,1.00363
10.85,1.00272
12.701,1.011
14.369,1.02337
16.002,1.04257
18.033,1.07409
19.593,1.09739
21.37,1.13163
23.618,1.18365
25.105,1.23018
26.845,1.28491
28.005,1.33279
29.418,1.39025
30.469,1.43675
31.375,1.48872
32.68,1.55437
33.766,1.61864
35.034,1.69522
36.012,1.74992
36.99,1.82376
37.642,1.86068
38.221,1.91127
38.982,1.95503
39.96,2.02886
40.503,2.07125
40.901,2.1068
41.335,2.15191
41.842,2.19019
42.131,2.22573
42.711,2.27632
43.217,2.3228
43.688,2.36655
44.05,2.39936
45.244,2.5142
46.076,2.60443
46.51,2.66321
47.052,2.71926
47.595,2.78897
47.993,2.82452
48.354,2.86963
48.716,2.91064
49.005,2.95575
49.295,2.98582
49.656,3.02957
49.941,3.0564
