x,tc_21,tc_12,tc_30
0.000331,0.00353,0.00585,0.01168
0.000661,0.00402,0.00667,0.0129
0.001323,0.005,0.00832,0.01535
0.011574,0.02663,0.03783,0.0533
0.012235,0.02871,0.03997,0.05576
0.027116,0.08827,0.09303,0.11177
0.040344,0.14772,0.14659,0.16341
0.04828,0.18326,0.18088,0.19573
0.069444,0.27991,0.27828,0.29009
0.070437,0.28482,0.28308,0.29492
0.082011,0.34377,0.34158,0.35488
0.101852,0.44992,0.46235,0.47067
0.102844,0.45541,0.46827,0.47674
0.119048,0.54725,0.55011,0.57497
0.125331,0.58244,0.58161,0.61019
0.127315,0.59328,0.59181,0.62087
0.157077,0.75634,0.75597,0.77499
0.157407,0.7583,0.7579,0.77681
0.165344,0.80646,0.80497,0.82196
0.192791,0.97668,0.9778,0.98994
0.196759,0.99935,1.00344,1.01504
0.202712,1.03121,1.0417,1.05282
0.215939,1.1017,1.1239,1.1436
0.217262,1.10944,1.13198,1.15342
0.22123,1.1334,1.15673,1.18325
0.235119,1.22176,1.2501,1.28814
0.244378,1.28175,1.30869,1.35646
0.247685,1.30288,1.32932,1.38019
0.267196,1.42098,1.45015,1.51155
0.268188,1.42678,1.45629,1.51803
0.276124,1.47296,1.50547,1.57025
0.297288,1.59344,1.6352,1.71753
0.300926,1.61348,1.65685,1.74382
0.304563,1.63316,1.67826,1.77033
0.317791,1.7021,1.75689,1.868
0.325397,1.74182,1.80475,1.92417
0.333333,1.7848,1.85021,1.98209
0.340608,1.82455,1.88858,2.0344
0.349868,1.8735,1.93512,2.10048
0.366071,1.94515,2.0141,2.21718
0.387566,2.04681,2.117,2.37902
0.388228,2.04989,2.12015,2.38392
0.398479,2.09404,2.16894,2.45228
0.399802,2.09922,2.17523,2.46024
0.400463,2.1018,2.17838,2.46427
