x,K vs Trailing Edge angle
0.000495,0.900158
0.003188,0.897144
0.005558,0.894676
0.007928,0.892208
0.010406,0.889467
0.012884,0.886998
0.015146,0.884532
0.017516,0.882064
0.019886,0.879596
0.020425,0.879047
0.022795,0.876851
0.025165,0.874112
0.027535,0.871644
0.029905,0.869176
0.032275,0.866708
0.034645,0.863969
0.037015,0.861772
0.039277,0.859034
0.040462,0.857936
0.042832,0.855468
0.04531,0.852727
0.050265,0.847518
0.052527,0.84478
0.054898,0.842583
0.057267,0.839844
0.059529,0.837377
0.060499,0.836553
0.062869,0.833813
0.065347,0.831344
0.067717,0.828877
0.070086,0.826137
0.072457,0.823669
0.074826,0.82093
0.077197,0.818734
0.079458,0.815995
0.080321,0.815715
0.082367,0.812979
0.084845,0.810238
0.087215,0.808042
0.089477,0.805304
0.091847,0.803107
0.097234,0.79735
0.099604,0.794883
0.100358,0.79406
0.102728,0.791592
0.105097,0.788853
0.107575,0.786113
0.109945,0.783645
0.112207,0.781178
0.114685,0.778438
0.117055,0.77597
0.119317,0.773503
0.120394,0.772134
0.122764,0.769666
0.125134,0.767199
0.127505,0.765002
0.129875,0.762534
0.132245,0.760066
0.134507,0.7576
0.136878,0.755403
0.139247,0.752664
0.140647,0.750749
0.143127,0.749095
0.144419,0.747452
0.146789,0.744984
0.149267,0.742515
0.151636,0.739776
0.154006,0.737308
0.156377,0.73484
0.158639,0.732374
0.160685,0.729909
0.163056,0.727713
0.165425,0.724973
0.167795,0.722234
0.170273,0.719765
0.172642,0.717026
0.175012,0.714558
0.177382,0.711818
0.179644,0.709623
0.180506,0.7088
0.182877,0.706332
0.185247,0.703864
0.187507,0.700583
0.189987,0.698928
