x,Wing Aspect Ratio Factor
0.97959,5.04125
0.98818,4.93606
1.03946,4.57845
1.06503,4.47327
1.09915,4.30499
1.13321,4.20402
1.23539,3.87589
1.26944,3.77492
1.32047,3.67397
1.43957,3.40895
1.49909,3.31221
1.55861,3.21547
1.62661,3.11873
1.75413,2.92525
1.83062,2.83272
1.9156,2.7402
2.22149,2.43742
2.34041,2.35333
2.45934,2.26924
2.58675,2.18937
2.73113,2.1095
2.884,2.03805
3.07083,1.95821
3.23218,1.89097
3.39353,1.83215
3.56336,1.77334
3.73319,1.71873
3.90301,1.66833
4.02189,1.63052
4.2002,1.58854
4.38699,1.54656
4.7436,1.46681
4.9219,1.42904
5.04076,1.40806
5.22755,1.37029
5.43132,1.33253
5.61811,1.29476
5.8049,1.25699
6.04261,1.23187
6.20394,1.18988
6.39071,1.16474
6.58598,1.13539
6.78125,1.11025
6.97652,1.0809
7.03595,1.07672
7.23121,1.05158
7.43497,1.02644
7.46045,1.01383
7.66419,1.00132
7.87642,0.9846
8.0632,0.96366
8.26695,0.94273
8.47069,0.93442
8.67443,0.9177
8.87818,0.90098
9.03099,0.88844
9.23473,0.87592
9.44697,0.86341
9.65071,0.8509
9.85445,0.83838
