x,tc_30,tc_21,tc_12
0.019,0.000428,-0.00014,0.00102
0.217,0.000356,-1.6e-05,0.001114
0.283,0.000333,2.5e-05,0.001147
1.14,3.5e-05,0.000563,0.001676
2.328,-0.000229,0.001339,0.00277
2.658,-0.000232,0.00156,0.003158
3.053,-0.000155,0.001828,0.003691
4.043,0.000662,0.002496,0.005138
4.834,0.001491,0.00302,0.006154
5.032,0.001627,0.003146,0.006419
5.494,0.001863,0.003427,0.007117
6.418,0.002204,0.004132,0.008833
7.011,0.002473,0.004784,0.00992
7.209,0.002611,0.005014,0.010253
8.331,0.003956,0.006363,0.011976
8.528,0.004159,0.006604,0.012282
9.65,0.005086,0.007975,0.014214
10.309,0.005601,0.008798,0.015562
11.035,0.006226,0.009737,0.017187
12.222,0.007412,0.011508,0.020017
12.486,0.007707,0.011942,0.020656
12.948,0.008267,0.012707,0.02177
13.938,0.009721,0.01435,0.024142
15.521,0.012458,0.017033,0.027925
16.246,0.013688,0.018318,0.029664
16.444,0.014013,0.018683,0.030141
18.291,0.016898,0.022281,0.034674
20.27,0.019953,0.025738,0.039775
20.534,0.020367,0.026239,0.040481
20.864,0.020889,0.026903,0.041374
23.107,0.024575,0.032686,0.047723
25.943,0.029691,0.040121,0.056285
26.603,0.030969,0.041744,0.05833
29.505,0.036925,0.049374,0.067436
31.55,0.041416,0.056002,0.073873
32.144,0.042794,0.058059,0.075685
33.067,0.045103,0.061276,0.078424
34.123,0.04786,0.064874,0.081847
36.168,0.053035,0.071359,0.088506
37.355,0.056062,0.074804,0.092379
39.466,0.061573,0.081669,0.099269
40.785,0.065125,0.086235,0.103578
45.798,0.079255,0.104134,0.119959
53.45,0.102725,0.131532,0.144973
61.894,0.128706,0.160296,0.172578
65.126,0.138632,0.170543,0.183143
68.358,0.148547,0.179374,0.193705
68.754,0.14976,0.180458,0.194998
71.656,0.158645,0.188611,0.204118
71.854,0.15925,0.189163,0.205107
72.052,0.159854,0.189712,0.205749
73.371,0.163712,0.193314,0.20886
74.295,0.166538,0.195797,0.211554
75.416,0.169808,0.1988,0.21453
75.482,0.169992,0.198977,0.214677
76.208,0.171915,0.200923,0.21618
77.791,0.175775,0.204932,0.21964
77.923,0.176124,0.205244,0.219926
78.978,0.17913,0.207656,0.222126
79.902,0.181724,0.209655,0.223759
81.023,0.184416,0.211895,0.225426
81.089,0.184563,0.212015,0.225528
82.211,0.18701,0.213702,0.227349
83.2,0.189186,0.214984,0.228902
83.53,0.189906,0.215466,0.229386
85.245,0.193451,0.218074,0.231614
86.828,0.196136,0.220263,0.233177
87.554,0.197246,0.221074,0.233635
88.609,0.199228,0.221993,0.233948
89.335,0.200665,0.222477,0.233992
90.06,0.201808,0.222895,0.234035
