x,Curve1
0.21144,1.201141
0.252389,1.205168
0.279338,1.21052
0.295876,1.215864
0.314692,1.22121
0.334773,1.230223
0.349666,1.237566
0.371032,1.248247
0.38977,1.261593
0.405934,1.271937
0.430466,1.29162
0.449499,1.307966
0.466923,1.322645
0.483676,1.339322
0.502687,1.358002
0.518451,1.376012
0.53001,1.391687
0.548337,1.413699
0.565979,1.439377
0.591307,1.477394
0.615627,1.518744
0.633194,1.552089
0.645981,1.575097
0.654901,1.594437
0.66927,1.622113
0.679813,1.641787
0.699039,1.671799
0.715086,1.694143
0.729215,1.713153
0.747874,1.734499
0.763652,1.751176
0.776872,1.763185
0.7895,1.769193
0.805671,1.77887
0.818625,1.784879
0.832571,1.789222
0.848794,1.793566
0.860151,1.796573
0.875092,1.798917
0.892971,1.800262
0.912161,1.800608
0.92679,1.801618
0.940144,1.79996
0.952834,1.799635
0.966516,1.797644
0.977928,1.794985
0.997801,1.791999
