x,Curve1
0.003618,0.006539
0.005243,0.021424
0.007827,0.034459
0.012184,0.053087
0.013838,0.066114
0.016202,0.093087
0.016393,0.081007
0.019688,0.10799
0.022982,0.134972
0.027397,0.149883
0.032684,0.168519
0.035151,0.188988
0.041265,0.214138
0.047408,0.237429
0.05364,0.255145
0.060713,0.278445
0.069558,0.307338
0.082863,0.348354
0.099061,0.382891
0.112557,0.411827
0.123219,0.443524
0.137748,0.465964
0.166952,0.501552
0.189602,0.539866
0.220711,0.572683
0.252765,0.60458
0.283002,0.633671
0.323309,0.673079
0.377377,0.724697
0.409504,0.751947
0.436139,0.77357
0.473891,0.798084
0.519039,0.825456
0.56968,0.858454
0.625916,0.890575
0.665617,0.909532
0.737665,0.9418
0.764461,0.953201
0.792217,0.962753
0.822793,0.970472
0.856129,0.980076
0.898766,0.989765
0.935882,0.995687
0.977663,1.000722
