x,0_2_1,0_1_2,0_3_0
-4e-06,0.00683,0.01189,0.02508
0.000827,0.00967,0.01461,0.02797
0.001658,0.01251,0.01734,0.03084
0.021978,0.08315,0.08433,0.10086
0.03815,0.14761,0.13941,0.15465
0.041054,0.15947,0.14964,0.16381
0.046858,0.18335,0.17074,0.18088
0.070491,0.28908,0.27772,0.28059
0.078369,0.33027,0.32024,0.32445
0.082101,0.35095,0.34109,0.34546
0.09951,0.44942,0.44192,0.44441
0.131848,0.61597,0.63417,0.63038
0.157132,0.76152,0.78267,0.77725
0.180346,0.89975,0.91323,0.91387
0.182007,0.90966,0.9224,0.92378
0.214754,1.10218,1.10755,1.14499
0.216413,1.1117,1.11769,1.15687
0.21682,1.11403,1.1202,1.15977
0.242115,1.25957,1.28761,1.33486
0.25786,1.35539,1.39511,1.44212
0.275276,1.46373,1.50718,1.56047
0.288937,1.54878,1.59099,1.65366
0.297238,1.59969,1.64094,1.71103
0.311339,1.68246,1.72415,1.81529
0.311731,1.68463,1.72639,1.81832
0.33206,1.78417,1.8367,1.96696
0.334525,1.79548,1.84953,1.98506
0.33663,1.80525,1.86042,2.00059
0.368923,1.9615,2.02432,2.23727
0.370627,1.96968,2.03287,2.24927
0.399224,2.10137,2.17602,2.43998
0.400424,2.10676,2.18202,2.44773
0.40048,2.10701,2.1823,2.4481
