x,0_3_0,0_2_1,0_1_2,plain
-0.343,-0.000426,-0.000191,0.001028,-0.000266
-0.331,-0.000423,-0.000185,0.001042,-0.000251
8.88178e-16,-0.000317,5.55112e-17,0.001424,0.000175
0.331,-0.000212,0.000185,0.001804,0.000587
1.657,0.000204,0.000949,0.003299,0.001977
2.32,0.000386,0.001358,0.004026,0.002535
2.371,0.000398,0.001391,0.004081,0.002575
2.734,0.000473,0.001626,0.004475,0.002851
3.645,0.000785,0.002242,0.005447,0.003496
4.142,0.001017,0.002591,0.005965,0.003832
5.882,0.001928,0.003869,0.007941,0.004993
6.379,0.002211,0.004255,0.008634,0.005352
6.442,0.002247,0.004305,0.008724,0.0054
6.711,0.002406,0.004526,0.00912,0.005627
7.705,0.003036,0.005506,0.010638,0.007314
7.799,0.003101,0.005619,0.010784,0.007474
9.445,0.00448,0.007766,0.013368,0.009939
9.611,0.004652,0.007968,0.013626,0.01018
11.243,0.00665,0.009966,0.017822,0.012659
12.179,0.00794,0.011228,0.020433,0.014359
12.759,0.008741,0.012082,0.02205,0.015551
13.54,0.009803,0.013332,0.024222,0.017074
14.167,0.010646,0.014406,0.025965,0.018139
14.913,0.01164,0.015739,0.028031,0.019362
16.819,0.014191,0.019293,0.033301,0.022768
17.089,0.014558,0.019801,0.034048,0.023304
19.47,0.018015,0.024225,0.040624,0.028572
20.298,0.019616,0.025681,0.042912,0.030593
21.624,0.022552,0.028848,0.046574,0.034022
21.891,0.023048,0.029616,0.047311,0.034745
23.944,0.026653,0.035594,0.052989,0.040656
26.17,0.030677,0.042094,0.059159,0.046977
27.175,0.032649,0.045036,0.061949,0.049629
31.732,0.042915,0.058509,0.074709,0.061562
32.063,0.043584,0.059499,0.075651,0.06247
32.851,0.045052,0.06186,0.077912,0.064669
36.537,0.053111,0.073062,0.090417,0.07564
39.354,0.060765,0.081875,0.099977,0.0846
39.768,0.061953,0.083199,0.101349,0.085954
40.262,0.063385,0.084789,0.102981,0.087579
45.899,0.080399,0.103909,0.121559,0.106853
45.982,0.080655,0.104205,0.121834,0.107138
50.29,0.094075,0.120121,0.136367,0.121707
53.206,0.103251,0.13109,0.146405,0.131071
54.35,0.106862,0.135334,0.150361,0.134545
56.669,0.114193,0.143693,0.158329,0.141202
57.664,0.117332,0.147138,0.161686,0.143933
59.156,0.122029,0.152148,0.166597,0.147988
59.901,0.124363,0.154573,0.168964,0.150028
62.138,0.131286,0.161467,0.175719,0.156252
64.374,0.137953,0.167501,0.182394,0.162559
64.375,0.137955,0.167502,0.182395,0.162561
66.031,0.142703,0.171792,0.187608,0.167236
66.777,0.144812,0.173839,0.189976,0.169332
68.434,0.149473,0.178576,0.194999,0.173948
70.837,0.156188,0.185632,0.200922,0.180493
71.251,0.157341,0.186852,0.202017,0.181598
74.565,0.166493,0.196282,0.21235,0.19015
75.559,0.169207,0.198852,0.215408,0.192605
77.051,0.173231,0.202316,0.219165,0.196184
77.548,0.174553,0.203395,0.220136,0.197349
79.039,0.178412,0.206692,0.222695,0.200761
79.619,0.179852,0.208178,0.223698,0.202054
81.11,0.1834,0.212268,0.226508,0.205293
81.193,0.183637,0.212457,0.226663,0.205469
82.104,0.18678,0.214113,0.228231,0.207384
82.85,0.188803,0.215151,0.229275,0.208918
84.59,0.191734,0.217204,0.231312,0.212383
85.833,0.193537,0.218249,0.232808,0.214764
86.91,0.19531,0.21913,0.233773,0.216767
87.738,0.196834,0.219862,0.234171,0.21827
88.484,0.198276,0.220639,0.234372,0.219596
89.727,0.200647,0.222327,0.234557,0.221752
89.809,0.200798,0.222451,0.234567,0.221893
