x,1,0_5,0_33,0_25
0.00066,-0.00166,0.0027,0.01473,0.02238
0.00079,-0.00155,0.00284,0.0149,0.02255
0.00305,0.00043,0.00544,0.01786,0.02556
0.00366,0.00097,0.00614,0.01867,0.02637
0.04686,0.04123,0.05555,0.07518,0.08376
0.06362,0.05794,0.07462,0.09704,0.10604
0.12417,0.11952,0.14535,0.17544,0.18679
0.13127,0.12676,0.15383,0.18456,0.19631
0.16365,0.15967,0.19266,0.22588,0.24004
0.21491,0.21153,0.25488,0.29035,0.31229
0.22197,0.21867,0.26354,0.29914,0.32181
0.22336,0.22007,0.26525,0.30086,0.32366
0.27509,0.27234,0.33031,0.3645,0.39157
0.34663,0.3441,0.42293,0.45075,0.48092
0.38388,0.38124,0.46398,0.49485,0.52384
0.38759,0.38492,0.46793,0.4992,0.52794
0.44727,0.44417,0.52996,0.56805,0.59133
0.45016,0.44703,0.5329,0.5713,0.59442
0.52609,0.52225,0.60879,0.64925,0.67605
0.56163,0.55746,0.64337,0.68081,0.70879
0.61904,0.61438,0.69793,0.73215,0.75851
0.67126,0.66627,0.74597,0.77859,0.80596
0.68001,0.67498,0.75383,0.78629,0.81391
0.69246,0.68737,0.76494,0.79717,0.82496
0.72909,0.72389,0.79689,0.82862,0.85516
0.74119,0.73596,0.80721,0.83873,0.86431
0.8343,0.82908,0.88302,0.90978,0.92507
0.86212,0.85695,0.90456,0.92825,0.94159
0.92285,0.91786,0.95024,0.96485,0.97573
0.95836,0.95351,0.97634,0.98437,0.99313
0.97756,0.97278,0.99036,0.99423,1.00148
0.99226,0.98754,1.00106,1.00075,1.00783
0.9961,0.9914,1.00386,1.00232,1.00953
1.00003,0.99535,1.00673,1.00402,1.01131
