x,0_1_2,0_2_1,0_3_0
-0.097,-0.00425,0.00074,0.01916
-0.029,-0.00304,0.00333,0.02496
-0.027,-0.00301,0.0034,0.02512
0.951,0.02076,0.0484,0.10645
0.968,0.02137,0.04942,0.10783
1.164,0.02886,0.06164,0.12355
2.395,0.09067,0.13835,0.22612
2.492,0.09612,0.14359,0.235
2.595,0.10194,0.14902,0.24464
3.907,0.1707,0.21477,0.36352
3.964,0.17344,0.21775,0.36767
4.51,0.19913,0.24797,0.40339
5.893,0.26176,0.34125,0.48105
6.368,0.28248,0.3734,0.50737
6.832,0.30218,0.40111,0.53355
8.13,0.3544,0.46603,0.60812
8.421,0.36608,0.47985,0.62493
9.391,0.40712,0.52615,0.68093
10.987,0.48128,0.60447,0.7733
11.908,0.52444,0.65146,0.82683
12.444,0.54857,0.6796,0.85782
13.16,0.57764,0.71784,0.89878
14.57,0.62493,0.79395,0.97812
15.95,0.67222,0.86751,1.05374
16.89,0.7047,0.91637,1.10369
17.822,0.73631,0.96389,1.1518
20.37,0.81681,1.08838,1.2798
20.562,0.82259,1.0972,1.28959
20.764,0.82864,1.10628,1.30002
22.926,0.89077,1.18683,1.41193
22.931,0.89089,1.18698,1.41215
23.395,0.90349,1.20285,1.43493
27.344,1.00864,1.34108,1.62433
27.62,1.01619,1.35085,1.63738
28.47,1.03976,1.38097,1.67732
30.164,1.0851,1.44048,1.754
31.464,1.1153,1.48479,1.8045
33.249,1.15294,1.5418,1.86852
33.68,1.16167,1.55454,1.88374
35.09,1.18969,1.59341,1.93336
37.637,1.23765,1.65811,2.02333
37.966,1.24354,1.66691,2.03518
38.58,1.25429,1.68385,2.05739
41.65,1.30314,1.76168,2.16865
42.717,1.31869,1.7844,2.20698
43.927,1.33589,1.80897,2.24942
46.033,1.36534,1.85073,2.31362
47.93,1.39153,1.88936,2.3627
50.424,1.42559,1.94794,2.42201
50.659,1.42879,1.95271,2.42733
50.943,1.43262,1.95793,2.43366
54.504,1.47938,2.00862,2.51133
55.065,1.48648,2.01652,2.52419
55.221,1.48844,2.01877,2.52779
59.087,1.5363,2.08164,2.61024
59.245,1.53822,2.08433,2.61309
60.416,1.55224,2.1033,2.63291
63.209,1.58213,2.14037,2.67499
64.7,1.59407,2.1582,2.69642
64.936,1.59573,2.16098,2.69984
70.158,1.62609,2.22025,2.77508
70.251,1.62659,2.22126,2.7763
70.639,1.62867,2.22545,2.7813
74.61,1.64785,2.25774,2.82489
75.322,1.65061,2.26175,2.8313
75.929,1.65279,2.26517,2.83645
80.114,1.6643,2.28878,2.86688
80.666,1.66543,2.29192,2.8707
83.443,1.66977,2.30692,2.88576
84.214,1.67052,2.31001,2.88809
84.704,1.67089,2.31154,2.88926
88.872,1.67129,2.31692,2.89502
90.078,1.67077,2.31778,2.89608
91.288,1.67016,2.31899,2.89708
94.565,1.66828,2.32881,2.89998
