x,Wing Taper Ratio factor
0.004157,1.424611
0.020346,1.418235
0.036536,1.41186
0.051873,1.405484
0.073175,1.396984
0.088512,1.390184
0.103849,1.383385
0.120038,1.376585
0.135375,1.369786
0.151565,1.362986
0.167754,1.356186
0.203541,1.341311
0.21973,1.334935
0.235067,1.328136
0.251257,1.321336
0.267446,1.314536
0.282783,1.307312
0.308345,1.295839
0.324534,1.289039
0.339872,1.282239
0.356061,1.275439
0.37225,1.269064
0.388439,1.262264
0.42593,1.246539
0.442972,1.240162
0.458309,1.233787
0.473646,1.226988
0.489835,1.219764
0.544368,1.195966
0.560557,1.189166
0.575894,1.182791
0.592083,1.175991
0.60316,1.170891
0.61935,1.164091
0.634687,1.157716
0.661953,1.146241
0.678142,1.139866
0.694331,1.133066
0.703704,1.128816
0.719894,1.121592
0.735231,1.114793
0.749716,1.107994
0.78039,1.093972
0.79658,1.087172
0.802544,1.084622
0.818733,1.078246
0.834923,1.07187
0.85026,1.065495
0.866449,1.059119
0.901384,1.0417
0.915017,1.038719
0.931206,1.031495
0.946543,1.024696
0.962733,1.017896
0.97807,1.011521
0.993407,1.004722
