x,0_3_0,0_2_1,0_1_2
0.094861,-0.253278,-0.282536,-0.353899
0.096934,-0.253024,-0.282055,-0.352755
0.099021,-0.252768,-0.281572,-0.351604
0.173316,-0.2437,-0.264328,-0.310528
0.196307,-0.240931,-0.258966,-0.297695
0.22675,-0.237315,-0.252108,-0.280703
0.234817,-0.236369,-0.250342,-0.276502
0.247776,-0.234862,-0.247532,-0.270289
0.304366,-0.228476,-0.235654,-0.246607
0.306406,-0.228253,-0.235246,-0.245784
0.335534,-0.225154,-0.229888,-0.235274
0.340412,-0.224669,-0.229118,-0.234042
0.345196,-0.224222,-0.228391,-0.232932
0.358113,-0.223436,-0.226472,-0.230186
0.37439,-0.222097,-0.224197,-0.226976
0.393196,-0.220394,-0.221974,-0.223398
0.397296,-0.220018,-0.221534,-0.222622
0.397946,-0.219958,-0.221464,-0.222499
