x,Curve1
3.21517,0.727303
3.60487,0.755958
4.02877,0.782733
4.54868,0.808138
4.94797,0.825868
5.39182,0.842742
5.84247,0.858592
6.29292,0.87137
6.69534,0.884491
7.11127,0.894198
7.55815,0.904927
7.7987,0.909352
8.32441,0.91837
8.74701,0.925175
9.13866,0.930958
9.49593,0.935888
9.97335,0.941154
10.51943,0.946587
10.95902,0.950659
11.55653,0.955407
11.98228,0.957773
12.61405,0.961495
13.36249,0.964868
13.9599,0.968079
14.74607,0.970938
15.11343,0.972626
15.36403,0.973466
15.74853,0.97481
16.0369,0.975819
16.50719,0.976989
17.04265,0.977472
17.54036,0.978128
17.95575,0.979471
