x,Curve1
1.0968,0.535061
1.7684,0.552894
2.4517,0.570436
3.2521,0.587988
3.9464,0.601744
4.8053,0.618427
5.9344,0.637757
6.8981,0.650661
7.6976,0.662678
8.6961,0.673837
9.589,0.684113
10.5873,0.693525
11.4799,0.702344
12.3138,0.710284
13.3001,0.71882
14.0631,0.72384
15.0374,0.730627
16.7748,0.743016
18.8287,0.755434
20.7649,0.76551
22.161,0.770877
23.7217,0.77888
25.446,0.783984
26.6191,0.788166
29.4929,0.796284
31.3698,0.802567
33.7625,0.808895
35.4632,0.813123
37.5625,0.817677
39.1341,0.82102
40.0255,0.823429
