x,Kwf,Kfw
0.000835,1.00156,0.00251
0.001454,1.00207,0.00321
0.051496,1.04337,0.06367
0.090643,1.07583,0.11915
0.104679,1.08753,0.13909
0.153703,1.129,0.20703
0.178178,1.15048,0.24653
0.199017,1.16955,0.28095
0.237667,1.20604,0.33902
0.243325,1.21131,0.34799
0.268019,1.23384,0.3897
0.309181,1.27201,0.45865
0.3093,1.27213,0.45887
0.344551,1.30862,0.52859
0.363259,1.32816,0.56283
0.382812,1.34763,0.59593
0.40734,1.37139,0.63579
0.423019,1.38659,0.66483
0.448109,1.41237,0.71234
0.457054,1.42203,0.7291
0.495122,1.46206,0.80222
0.504373,1.47148,0.82117
0.544659,1.51136,0.9072
0.561229,1.52745,0.94264
0.585871,1.55154,0.99468
0.606883,1.57357,1.03879
0.617508,1.58564,1.06133
0.655459,1.62889,1.14294
0.656641,1.63016,1.14549
0.690361,1.66514,1.21715
0.717718,1.69316,1.27399
0.72033,1.6959,1.27962
0.746158,1.72424,1.34135
0.759646,1.73936,1.37581
0.786161,1.76812,1.44065
0.801989,1.78555,1.47604
0.830716,1.8189,1.53985
0.840603,1.83015,1.56365
0.871557,1.86338,1.64334
0.880453,1.87303,1.66644
0.903657,1.89962,1.72851
0.919066,1.91763,1.77297
0.941205,1.94305,1.83881
0.959756,1.9647,1.8943
0.971668,1.97941,1.93075
0.98883,2.00194,1.98653
0.993382,2.00802,2.00183
