x,SL,4000ft,8000ft,12000ft,16000ft,20000ft,24000ft,28000ft,31000ft,std_37C,std_30C,std_20C,std_10C,std,std_neg10C,std_neg20C,std_neg30C
-74.0268,257.6656,-28739.0092,-4346.8043,-19076.241,-3582.9645,135.8465,107.3694,87.6439,75.4133,290.8177,-43.3303,-0.6362,6.4945,23.4118,830.4869,135.3613,75.368
-73.9336,257.5236,-28652.9093,-4331.032,-18999.0374,-3563.3974,135.7568,107.3023,87.594,75.3717,289.835,-43.2206,-0.5566,6.6028,23.5179,819.4811,133.0825,75.5019
-71.3226,253.5433,-26307.9804,-3903.5744,-16917.6702,-3042.2833,133.2416,105.4381,86.2201,74.2022,263.1884,-40.1395,1.6759,9.635,26.4914,551.2402,86.6972,79.2243
-69.8309,251.2694,-25027.171,-3671.9133,-15799.1353,-2767.7441,131.803,104.3821,85.4504,73.5242,248.7377,-38.3727,2.9516,11.3628,28.1905,430.4129,73.0328,81.2184
-68.1521,248.7103,-23635.8114,-3421.8406,-14599.9053,-2478.1682,130.1824,103.1976,84.5904,72.7457,233.1313,-36.3788,4.3876,13.303,30.103,319.603,65.361,83.7
-68.057,248.5653,-23558.5342,-3408.0021,-14533.805,-2462.3599,130.0905,103.1306,84.5418,72.701,232.2675,-36.2656,4.469,13.4128,30.2114,314.0676,65.5108,83.8783
-67.0311,247.0015,-22735.7822,-3261.0125,-13833.4805,-2295.9082,129.0992,102.4084,84.0167,72.214,223.0909,-35.0441,5.3467,14.5959,31.3804,259.1296,66.8853,86.0484
-65.3523,244.4424,-21430.7576,-3029.2132,-12736.0183,-2039.087,127.4755,101.2282,83.1538,71.3956,208.6155,-33.0407,6.7833,16.5278,33.2937,186.751,68.9584,88.53
-64.0988,242.5318,-20489.3256,-2863.0892,-11955.0856,-1859.5744,126.2618,100.348,82.5031,70.7645,198.2388,-31.5414,7.8561,17.9665,34.7226,145.4658,70.4757,90.4853
-64.0064,242.3909,-20421.006,-2851.071,-11898.78,-1846.7421,126.1722,100.2831,82.4548,70.7173,197.488,-31.4307,7.9353,18.0725,34.828,142.8162,70.5873,90.6226
-63.8598,242.1674,-20312.9248,-2832.0689,-11809.8085,-1826.4964,126.0301,100.1801,82.3781,70.642,196.3009,-31.2551,8.0608,18.2406,34.9952,138.7187,70.7645,90.8342
-62.1815,239.6091,-19102.6983,-2620.2076,-10822.4649,-1604.4997,124.4026,99.0026,81.4901,69.7636,183.0647,-29.2421,9.4977,20.1608,36.9091,100.5172,72.8004,93.1386
-60.9307,237.7026,-18232.4222,-2468.946,-10123.0307,-1450.4067,123.1879,98.1254,80.8136,69.0896,173.6136,-27.7386,10.5689,21.5875,38.3358,81.3419,74.3541,95.3946
-60.8746,237.6171,-18194.0176,-2462.2929,-10092.378,-1443.7177,123.1334,98.0861,80.7829,69.059,173.1979,-27.6711,10.6169,21.6514,38.3998,80.6465,74.4256,95.4871
-59.5696,235.6278,-17315.475,-2310.6285,-9396.2745,-1293.3475,121.8642,97.171,80.0587,68.3398,163.7218,-26.0991,11.7349,23.1356,39.8889,67.9957,76.1837,97.3005
-59.4759,235.4851,-17253.56,-2299.9793,-9347.594,-1282.9451,121.7731,97.1054,80.006,68.2876,163.0565,-25.9863,11.8151,23.2419,39.9957,67.3299,76.3196,97.4369
-59.1591,235.0022,-17045.0961,-2264.1631,-9184.0647,-1248.114,121.4647,96.8833,79.8267,68.1106,160.8188,-25.6042,12.0865,23.6014,40.3573,65.2943,76.7914,97.9264
-57.8895,233.0669,-16226.2719,-2124.0814,-8547.4733,-1114.2411,120.2273,95.993,79.0938,67.3937,152.0677,-24.0711,13.1746,25.0392,41.8067,59.9447,78.7989,100.1399
-57.7598,232.8692,-16144.1125,-2110.0802,-8484.1168,-1101.0731,120.1008,95.902,79.0175,67.3198,151.1931,-23.9144,13.2857,25.1859,41.9548,60.1062,79.007,100.3745
-57.667,232.7278,-16085.5105,-2100.0998,-8438.9855,-1091.7107,120.0103,95.8369,78.9628,67.2669,150.5697,-23.8022,13.3652,25.2907,42.0607,60.2207,79.1555,100.542
-55.9877,230.1682,-15048.957,-1924.4496,-7649.0698,-930.345,118.3699,94.659,77.9483,66.2998,139.6,-21.7698,14.8048,27.1834,43.9788,62.2238,81.6215,103.2833
